id,nome,data_inicio,data_termino_planejada,data_termino_real,orcamento_inicial,gerente,status,percentual_conclusao,spi,cpi,mudanca_escopo
PROJ-0001,A liberdade de ganhar mais facilmente,15/03/2025,31/07/2025,24/08/2025,111655,Clara Cardoso,Em andamento,99.9,1.0168788158319157,1.0958101204149047,Não
PROJ-0002,A segurança de inovar direto da fonte,21/02/2025,24/04/2025,03/04/2025,2405713,Srta. Brenda Sousa,Cancelado,66.79213957880056,0.6679213957880056,0.7355994895819957,Não
PROJ-0003,A possibilidade de mudar naturalmente,09/05/2024,23/06/2024,02/07/2024,4022823,Mateus Moraes,Em andamento,99.9,1.0809362182721647,0.9081273176986328,Não
PROJ-0004,O poder de concretizar seus projetos sem preocupação,16/01/2024,09/12/2024,06/12/2024,4744823,Daniela Lima,Em andamento,81.59023053415069,0.889964446604197,1.1642054882985788,Não
PROJ-0005,A possibilidade de evoluir sem preocupação,28/10/2023,14/08/2024,01/08/2024,1720926,Gael Câmara,Concluído,100.0,1.0141560945229002,1.218921737500673,Sim
PROJ-0006,O direito de realizar seus sonhos de maneira eficaz,18/04/2025,20/11/2025,15/11/2025,1967469,Milena Borges,Em andamento,33.6717791876281,1.058593838407451,1.1948134882538557,Não
PROJ-0007,A possibilidade de avançar com toda a tranquilidade,28/10/2024,20/10/2025,27/01/2026,2528146,Isabela Cunha,Atrasado,47.12887745257345,0.6496142567787151,0.8113295955711105,Não
PROJ-0008,A arte de atingir seus objetivos com confiança,13/07/2024,21/12/2024,20/12/2024,1291278,Davi Sales,Em andamento,99.9,0.9246214050002715,0.8678307163913466,Não
PROJ-0009,A simplicidade de realizar seus sonhos com toda a tranquilidade,27/09/2024,10/04/2025,10/05/2025,2792304,Ana Cavalcanti,Em andamento,99.9,0.9444365135388041,1.0320563301744232,Não
PROJ-0010,O direito de avançar com toda a tranquilidade,26/11/2023,17/03/2024,28/02/2024,4536304,Marcelo Viana,Concluído,100.0,1.0887070839375046,1.008597138403713,Não
PROJ-0011,A liberdade de concretizar seus projetos sem preocupação,06/11/2023,11/03/2024,09/03/2024,2045748,João Guilherme Camargo,Em andamento,82.37486643484924,0.9665323418210561,0.95666024599691,Não
PROJ-0012,O direito de atingir seus objetivos mais rapidamente,09/01/2024,25/12/2024,16/12/2024,4791372,Diego Pimenta,Em andamento,99.9,1.0373857673919247,1.0504548090958932,Não
PROJ-0013,O prazer de conseguir com força total,03/04/2024,26/02/2025,16/06/2024,3850502,Pedro Viana,Cancelado,22.59177257345648,0.2259177257345648,0.667285538501915,Não
PROJ-0014,O prazer de evoluir direto da fonte,13/08/2024,23/01/2025,30/04/2025,3220019,Carolina da Rocha,Atrasado,63.81408650775787,0.6381408650775787,0.9575386407622383,Não
PROJ-0015,O prazer de evoluir com confiança,30/03/2025,11/08/2025,19/11/2025,1802692,Mirella Viana,Atrasado,70.23629280856946,0.8878927581460666,0.911440387901147,Não
PROJ-0016,A certeza de mudar sem preocupação,01/02/2025,07/05/2025,04/05/2025,200733,Lara Martins,Em andamento,99.9,0.8666162368362915,0.8696169131497774,Não
PROJ-0017,O poder de inovar antes de tudo,01/12/2023,07/10/2024,01/11/2024,3223377,Ana Beatriz Fernandes,Em andamento,93.78869694677738,1.0987644081189454,1.2060956111675771,Sim
PROJ-0018,A certeza de concretizar seus projetos direto da fonte,08/02/2024,14/03/2024,04/03/2024,1428020,Carlos Eduardo da Cunha,Em andamento,99.9,0.8501393326666121,0.9604571449321042,Sim
PROJ-0019,A possibilidade de mudar de maneira eficaz,10/07/2025,26/03/2026,13/05/2026,2272214,Rafael da Mota,Atrasado,1.0223534740970484,0.661973874477839,0.7319332400436301,Não
PROJ-0020,A segurança de mudar sem preocupação,07/05/2024,13/04/2025,30/08/2025,3154220,Sra. Camila Nunes,Atrasado,54.088828928337584,0.5408882892833758,0.9495726485262761,Não
PROJ-0021,A vantagem de evoluir com força total,10/05/2024,12/12/2024,28/05/2025,2711934,Vitor Hugo Ramos,Atrasado,81.50431147595529,0.815043114759553,0.8741134109535272,Não
PROJ-0022,A arte de atingir seus objetivos de maneira eficaz,01/09/2023,04/01/2024,16/10/2023,295505,Danilo Monteiro,Cancelado,36.06580864297703,0.3606580864297703,0.9205798027206806,Não
PROJ-0023,A simplicidade de avançar antes de tudo,19/09/2024,11/06/2025,04/07/2025,1221343,Gael Campos,Em andamento,82.14013848160681,1.0520313123373015,0.9020786723912599,Não
PROJ-0024,O poder de mudar mais facilmente,06/01/2024,08/09/2024,21/12/2024,2635866,Isaac Sousa,Atrasado,74.9162563874967,0.749162563874967,0.8187284900696763,Sim
PROJ-0025,O direito de ganhar direto da fonte,17/04/2024,20/01/2025,10/02/2025,461915,Isaque Ramos,Em andamento,99.40085574385282,0.9199896644746879,1.1031808954692266,Não
PROJ-0026,A possibilidade de inovar mais facilmente,02/01/2025,16/09/2025,13/09/2025,621682,Gabriel Marques,Concluído,100.0,1.074953093078073,1.2363660761177337,Não
PROJ-0027,A segurança de evoluir direto da fonte,27/11/2023,10/01/2024,29/01/2024,2638065,Dra. Daniela Castro,Concluído,100.0,0.9831099013152951,1.078082376963598,Não
PROJ-0028,O poder de inovar naturalmente,13/09/2024,21/01/2025,21/03/2025,693438,Leandro Alves,Atrasado,54.45614640115013,0.5445614640115013,0.92843449166467,Não
PROJ-0029,A segurança de inovar antes de tudo,26/11/2023,13/07/2024,15/12/2024,1367987,Nicole Santos,Atrasado,87.74805840300426,0.8774805840300426,0.9049404175107787,Sim
PROJ-0030,A arte de evoluir sem preocupação,03/06/2024,08/09/2024,03/10/2024,3057372,Maria Alice Aragão,Em andamento,98.18208511151974,1.0177203420498304,0.991285952435568,Não
PROJ-0031,A vantagem de ganhar antes de tudo,04/06/2025,03/06/2026,07/06/2026,4279368,Stephany Teixeira,Em andamento,11.314296682627896,0.9481686414013657,0.9758860972001961,Não
PROJ-0032,O direito de ganhar mais facilmente,15/11/2023,30/04/2024,13/05/2024,747578,Isabella Montenegro,Concluído,100.0,0.9500975048835971,1.148302600026462,Não
PROJ-0033,O direito de mudar com toda a tranquilidade,23/07/2023,15/10/2023,03/10/2023,2187175,Rebeca Rocha,Em andamento,87.35081004563361,1.0484474382110496,0.951389210178831,Sim
PROJ-0034,O poder de ganhar antes de tudo,09/12/2024,22/02/2025,20/03/2025,4137556,Rebeca Montenegro,Em andamento,99.9,0.8895037284297229,1.1304940516945832,Não
PROJ-0035,A certeza de atingir seus objetivos simplesmente,28/05/2024,08/12/2024,25/12/2024,1319243,Sr. Joaquim da Cruz,Em andamento,84.05647447084719,1.0408696656367578,0.8771467066486817,Não
PROJ-0036,A arte de avançar direto da fonte,10/11/2024,02/08/2025,18/08/2025,4227990,Srta. Aylla Pastor,Em andamento,76.06911992763285,1.1394620280644312,1.1394735938409164,Não
PROJ-0037,A certeza de concretizar seus projetos naturalmente,19/12/2023,04/10/2024,07/10/2024,940287,Juliana da Paz,Em andamento,99.9,0.8961905993806707,1.1092592363185827,Não
PROJ-0038,O direito de atingir seus objetivos antes de tudo,27/01/2024,18/12/2024,02/12/2024,1574117,Ana Laura Mendonça,Concluído,100.0,0.9568521032019028,1.1766426742973588,Não
PROJ-0039,A vantagem de mudar de maneira eficaz,21/01/2025,11/06/2025,17/04/2025,4522626,Beatriz Castro,Cancelado,61.40361951025547,0.6140361951025547,0.6938814261819924,Não
PROJ-0040,A arte de concretizar seus projetos mais rapidamente,31/07/2023,19/11/2023,13/11/2023,1169682,Heloísa Borges,Em andamento,99.9,0.9201319359451218,0.9528860788074104,Não
PROJ-0041,A segurança de evoluir sem preocupação,22/07/2023,14/09/2023,01/09/2023,3891056,Catarina Duarte,Em andamento,99.9,0.953996684363157,1.1182149102835315,Não
PROJ-0042,A certeza de avançar naturalmente,21/05/2025,16/01/2026,21/01/2026,1322004,Luiz Miguel Lopes,Em andamento,23.322711444345977,1.060339426804108,0.9066344773074524,Não
PROJ-0043,A liberdade de evoluir antes de tudo,29/04/2024,05/01/2025,31/12/2024,225630,Bianca Duarte,Em andamento,99.9,0.8687163874627262,0.9237942289302535,Sim
PROJ-0044,O poder de avançar sem preocupação,11/12/2024,28/03/2025,18/07/2025,3211417,Léo Moraes,Atrasado,64.74557807920311,0.6474557807920311,0.7893075412932704,Não
PROJ-0045,O conforto de avançar com confiança,03/03/2024,19/07/2024,16/08/2024,2943343,Davi Lucas Rodrigues,Em andamento,99.9,1.027652162064473,1.040237614239641,Não
PROJ-0046,A segurança de concretizar seus projetos naturalmente,25/10/2024,03/05/2025,08/05/2025,1020194,Cauê Lopes,Em andamento,99.9,1.034484334477857,1.0043171421564534,Não
PROJ-0047,O poder de avançar com força total,25/07/2024,04/07/2025,26/08/2025,4939207,Raquel da Conceição,Atrasado,64.82848627508892,0.6482848627508893,0.7809327442686664,Não
PROJ-0048,O poder de atingir seus objetivos naturalmente,06/01/2024,26/02/2024,25/03/2024,4311900,Henry Gabriel Mendonça,Concluído,100.0,1.0229238575492547,1.1160793031749006,Não
PROJ-0049,A segurança de realizar seus sonhos antes de tudo,10/06/2025,09/02/2026,18/10/2025,1612711,Stella Vieira,Cancelado,53.59608836633938,3.8463075180549433,0.8347600772934753,Não
PROJ-0050,A arte de concretizar seus projetos mais rapidamente,11/05/2024,07/11/2024,23/12/2024,1155154,Dra. Carolina Moreira,Atrasado,57.3466850401598,0.573466850401598,0.9556378703869614,Sim
PROJ-0051,A certeza de inovar simplesmente,04/11/2023,08/12/2023,27/11/2023,2875605,Sra. Maria Sophia Barros,Concluído,100.0,1.0763967841315512,0.9829645680602919,Não
PROJ-0052,A vantagem de realizar seus sonhos simplesmente,03/12/2023,30/09/2024,27/01/2025,146706,Sra. Agatha Campos,Atrasado,69.91033963424817,0.6991033963424818,0.8212789431508742,Sim
PROJ-0053,A simplicidade de mudar com força total,15/02/2025,12/12/2025,03/12/2025,2060895,Sarah Almeida,Em andamento,49.600535707870485,1.0425580088920035,0.921309152875711,Sim
PROJ-0054,O conforto de realizar seus sonhos com toda a tranquilidade,11/10/2024,01/07/2025,14/07/2025,4010763,Thales Moraes,Em andamento,80.7969240513246,0.956952192782521,0.9320566979166869,Não
PROJ-0055,A simplicidade de concretizar seus projetos antes de tudo,26/05/2025,23/03/2026,26/03/2026,1607868,Giovanna Pimenta,Em andamento,18.80992643428475,1.1021609879323409,0.8861044113047314,Não
PROJ-0056,A arte de conseguir naturalmente,11/08/2023,14/12/2023,04/01/2024,1561483,Thales Santos,Em andamento,99.9,0.8541742505781099,0.8945460964764256,Sim
PROJ-0057,A possibilidade de conseguir com toda a tranquilidade,12/12/2023,09/12/2024,03/01/2025,2936121,Sr. Apollo Sousa,Atrasado,84.14028047723336,0.8414028047723336,0.9462877147284855,Não
PROJ-0058,A vantagem de ganhar com toda a tranquilidade,04/05/2025,04/11/2025,04/03/2026,4102557,Maria Liz Brito,Atrasado,26.897241335431453,0.6970552684111814,0.802339845675844,Não
PROJ-0059,A segurança de ganhar de maneira eficaz,25/04/2024,07/09/2024,01/08/2024,1712851,Valentim Pastor,Cancelado,72.92005682609474,0.7292005682609474,0.9457757474198045,Sim
PROJ-0060,A possibilidade de inovar mais facilmente,09/09/2023,08/05/2024,01/05/2024,3523670,Sr. Danilo Casa Grande,Em andamento,99.9,0.9663098337240927,0.9330319688187952,Não
PROJ-0061,A simplicidade de conseguir sem preocupação,24/03/2024,05/08/2024,10/12/2024,2007736,Benjamim Pires,Atrasado,68.54602220369487,0.6854602220369488,0.7305835369763904,Não
PROJ-0062,O poder de conseguir sem preocupação,14/08/2024,26/02/2025,24/04/2025,3250129,Maitê Lima,Atrasado,75.20856280653499,0.75208562806535,0.7570237542373309,Sim
PROJ-0063,A simplicidade de concretizar seus projetos mais rapidamente,03/12/2024,05/02/2025,04/03/2025,466665,Clarice Gonçalves,Em andamento,99.9,1.1289838740204932,0.9264766128518499,Não
PROJ-0064,A possibilidade de concretizar seus projetos com toda a tranquilidade,25/03/2024,11/06/2024,11/07/2024,3840742,Milena Porto,Em andamento,90.42288132645146,0.9677201837355126,0.8926127275831482,Não
PROJ-0065,O direito de atingir seus objetivos direto da fonte,17/12/2023,20/07/2024,13/08/2024,2535258,Diego Machado,Atrasado,69.20990786743447,0.6920990786743446,0.6984354186680505,Não
PROJ-0066,A vantagem de avançar mais facilmente,03/12/2023,19/11/2024,22/11/2024,1823027,Dra. Aylla Gonçalves,Em andamento,91.33574124762863,0.969441074089,0.9051120165179117,Não
PROJ-0067,A segurança de conseguir de maneira eficaz,27/02/2024,17/06/2024,13/07/2024,4537213,Vitor Sousa,Em andamento,99.9,0.8909982045850868,1.167847010688867,Não
PROJ-0068,A vantagem de ganhar direto da fonte,04/03/2025,09/11/2025,20/01/2026,165707,Gabriela da Cruz,Atrasado,44.19929459724582,0.8371078522205646,0.7389375975817283,Não
PROJ-0069,A liberdade de mudar direto da fonte,04/01/2025,05/09/2025,03/10/2025,2723079,Catarina Farias,Em andamento,85.55719438864212,1.135324973488859,0.9973799142419852,Não
PROJ-0070,O direito de conseguir naturalmente,04/01/2025,16/09/2025,04/09/2025,4002418,Srta. Maria Helena Moreira,Concluído,100.0,1.019041380318896,0.9871315975127851,Não
PROJ-0071,A certeza de ganhar em estado puro,09/06/2024,23/07/2024,09/08/2024,2849610,Kaique Peixoto,Concluído,100.0,1.0817740967206062,1.1971942947397993,Não
PROJ-0072,O conforto de inovar com confiança,14/01/2025,17/09/2025,02/10/2025,3634225,Maria Eduarda Sampaio,Atrasado,64.85918220340663,0.8815115371291732,0.9678697937592047,Não
PROJ-0073,A segurança de conseguir mais rapidamente,23/12/2023,13/05/2024,02/05/2024,4985715,Sra. Lorena Abreu,Em andamento,99.9,0.9126270317849472,0.8621746934759872,Não
PROJ-0074,A segurança de ganhar direto da fonte,24/12/2023,06/03/2024,18/03/2024,594612,Alana Garcia,Em andamento,90.00682539607286,0.973765839273103,1.0075034484153331,Não
PROJ-0075,O prazer de inovar mais rapidamente,23/06/2024,23/01/2025,30/01/2025,4008564,Ryan Guerra,Em andamento,99.9,1.08231910934772,1.0396022513654914,Não
PROJ-0076,A simplicidade de conseguir mais facilmente,08/10/2023,21/05/2024,05/11/2024,4807657,Luigi Sousa,Atrasado,68.40658339513277,0.6840658339513277,0.8298762011908979,Sim
PROJ-0077,A arte de concretizar seus projetos mais facilmente,09/05/2025,20/07/2025,12/11/2025,1876996,Maria Júlia da Rosa,Atrasado,57.9881957065411,0.632598498616812,0.7701751313017333,Não
PROJ-0078,A possibilidade de realizar seus sonhos com confiança,23/08/2023,29/12/2023,31/12/2023,2542760,Théo Rezende,Em andamento,81.2779912356403,1.0678869666560946,1.1948747886886957,Sim
PROJ-0079,O prazer de conseguir simplesmente,10/04/2025,08/10/2025,24/10/2025,3907350,Camila Sá,Em andamento,58.23598677701969,0.9041050113509043,0.8742233010119342,Sim
PROJ-0080,A possibilidade de avançar direto da fonte,11/08/2023,27/04/2024,11/04/2024,1246437,Diego da Rosa,Concluído,100.0,1.0690882728766309,1.2497060260027784,Não
PROJ-0081,O direito de realizar seus sonhos com toda a tranquilidade,11/09/2024,28/02/2025,22/03/2025,304458,Ana Luiza Farias,Concluído,100.0,1.0029648831080653,1.0469734049943913,Sim
